Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Booking Services,Chrome 70.0.3538.102,,2018-11-15 17:38:42,2018-11-15 17:40:29,1m - 46.916s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-15 17:38:43,2018-11-15 17:39:37,54.185s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 17:38:43,2018-11-15 17:38:50,6.446s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-15 17:38:50,2018-11-15 17:39:08,18.127s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 17:39:08,2018-11-15 17:39:09,1.176s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:09,2018-11-15 17:39:10,0.696s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-15 17:39:10,2018-11-15 17:39:19,9.234s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-15 17:39:19,2018-11-15 17:39:19,0.062s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-15 17:39:19,2018-11-15 17:39:19,0.195s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-15 17:39:19,2018-11-15 17:39:23,3.804s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-15 17:39:23,2018-11-15 17:39:23,0.022s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:23,2018-11-15 17:39:23,0.293s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:23,2018-11-15 17:39:24,0.540s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:24,2018-11-15 17:39:24,0.247s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-15 17:39:24,2018-11-15 17:39:24,0.123s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:24,2018-11-15 17:39:25,0.155s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-15 17:39:25,2018-11-15 17:39:25,0.197s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-15 17:39:25,2018-11-15 17:39:29,4.737s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-15 17:39:29,2018-11-15 17:39:30,0.051s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:30,2018-11-15 17:39:30,0.154s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-15 17:39:30,2018-11-15 17:39:30,0.727s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:30,2018-11-15 17:39:31,0.282s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:31,2018-11-15 17:39:31,0.276s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:31,2018-11-15 17:39:31,0.299s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:31,2018-11-15 17:39:32,0.249s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:32,2018-11-15 17:39:32,0.266s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-15 17:39:32,2018-11-15 17:39:32,0.113s,PASSED
focus,Chrome 70.0.3538.102,,2018-11-15 17:39:32,2018-11-15 17:39:32,0.213s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-15 17:39:32,2018-11-15 17:39:32,0.045s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:32,2018-11-15 17:39:33,1.119s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-15 17:39:33,2018-11-15 17:39:33,0.068s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-15 17:39:33,2018-11-15 17:39:33,0.042s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-15 17:39:33,2018-11-15 17:39:33,0.052s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-15 17:39:33,2018-11-15 17:39:34,0.075s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:34,2018-11-15 17:39:34,0.489s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:34,2018-11-15 17:39:34,0.462s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:34,2018-11-15 17:39:35,0.176s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:35,2018-11-15 17:39:35,0.424s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:35,2018-11-15 17:39:35,0.233s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:35,2018-11-15 17:39:36,0.236s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:36,2018-11-15 17:39:36,0.426s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:36,2018-11-15 17:39:36,0.206s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:36,2018-11-15 17:39:37,0.575s,PASSED
,,,,,,
Test Cases/Accept Booking,Chrome 70.0.3538.102,Service Provider will accept the booking without any change request,2018-11-15 17:39:37,2018-11-15 17:40:03,26.090s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 17:39:37,2018-11-15 17:39:41,4.174s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-15 17:39:41,2018-11-15 17:39:53,11.499s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 17:39:53,2018-11-15 17:39:54,1.151s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:54,2018-11-15 17:39:54,0.260s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:54,2018-11-15 17:39:55,0.525s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:39:55,2018-11-15 17:39:55,0.340s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:55,2018-11-15 17:39:55,0.226s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:39:55,2018-11-15 17:40:01,5.621s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:01,2018-11-15 17:40:02,1.111s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:02,2018-11-15 17:40:03,0.515s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:03,2018-11-15 17:40:03,0.159s,PASSED
,,,,,,
Test Cases/Mark as complete,Chrome 70.0.3538.102,Clicking on button Mark service as complete,2018-11-15 17:40:03,2018-11-15 17:40:28,24.937s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 17:40:03,2018-11-15 17:40:06,3.025s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-15 17:40:06,2018-11-15 17:40:19,13.169s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 17:40:19,2018-11-15 17:40:21,1.126s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:21,2018-11-15 17:40:21,0.189s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:40:21,2018-11-15 17:40:21,0.417s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-15 17:40:21,2018-11-15 17:40:21,0.274s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:21,2018-11-15 17:40:22,0.186s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:22,2018-11-15 17:40:26,4.113s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:26,2018-11-15 17:40:26,0.181s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:26,2018-11-15 17:40:27,1.208s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:27,2018-11-15 17:40:28,0.486s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 17:40:28,2018-11-15 17:40:28,0.236s,PASSED
